source,2016,2020,2024
abc,2.811427940871883e+34,5.287847975901068e+32,2693.6374612775953
fox,5.070054552331905e+34,4.8812031889026596e+33,964.6539454843366
msnbc,2.7211868340025653e+34,1.6712775616925514e+33,1530.32715583716
