source,topic,decay_rate,half_life_days,r2,n_obs,avg_tone,first_date,year,tone_category
abc,"WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE,86",0.000760405495514374,911.5494096884031,0.02531777453636197,5,,2020-03-20 02:15:00,2020,unknown
abc,"WB_2167_PANDEMICS,236",0.0008452449127361999,820.0548386811479,0.33328029396712167,9,,2020-03-18 08:00:00,2020,unknown
abc,"WB_2167_PANDEMICS,27",7.384959923513032e-35,9.385930157224395e+33,0.0,25,,2020-03-16 06:15:00,2020,unknown
abc,"WB_2167_PANDEMICS,86",0.000760405495514374,911.5494096884031,0.02531777453636197,5,,2020-03-20 02:15:00,2020,unknown
abc,"WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1047",1.015275810519208e-06,682718.1081025387,0.00010182844870088026,10,,2016-06-17 02:45:00,2016,unknown
abc,"WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1151",6.77971440071228e-05,10223.840409665678,0.1295307204177657,7,,2020-03-10 14:45:00,2020,unknown
abc,"WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1154",2.2153636535840933e-05,31288.189613409402,0.05981601990259133,10,,2016-02-03 17:30:00,2016,unknown
abc,"WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,118",4.425587165765923e-06,156622.6479328612,0.001817321018170226,15,,2016-02-17 17:00:00,2016,unknown
abc,"WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1396",2.156070720737398e-05,32148.62916569276,0.02307805712718447,9,,2016-12-08 20:15:00,2016,unknown
abc,"WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1870",0.00014218437172289566,4874.988524834683,0.39301318762532167,5,,2020-06-01 16:45:00,2020,unknown
abc,"WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,2177",9.021194277979486e-05,7683.541216398593,0.3437915894507819,6,,2016-07-08 09:00:00,2016,unknown
