source,topic,decay_rate,half_life_days,r2,n_obs,avg_tone,first_date,year
msnbc,"TAX_FNCACT_OFFICIAL,26",3.537192899877734e-05,19595.96776822391,0.015208475810800759,7,,2020-01-03 00:15:00,2020
msnbc,"TAX_FNCACT_OFFICIALS,180",4.5867214839732626e-05,15112.039895640322,0.07320280775082999,10,,2020-02-27 01:15:00,2020
msnbc,"TAX_FNCACT_OFFICIALS,60",1.6698395285415286e-05,41509.80790144272,0.011465433534220248,6,,2016-09-30 22:45:00,2016
msnbc,"TAX_FNCACT_POLICE,119",0.0019957434153596173,347.31277338827925,0.23872228142284468,5,,2020-05-30 07:45:00,2020
msnbc,"TAX_FNCACT_POLICE,40",7.245081302173472e-05,9567.141508156797,0.06481823441296752,5,,2020-06-01 00:45:00,2020
msnbc,"TAX_FNCACT_PORTER,17",0.0005675276306318219,1221.345258182888,0.1110424985934435,7,,2020-03-26 01:45:00,2020
msnbc,"TAX_FNCACT_POSTMASTER,10",0.0018979217826339617,365.2137758796288,0.02059574468085079,6,,2020-08-17 18:45:00,2020
msnbc,"TAX_FNCACT_POSTMASTER_GENERAL,18",0.0018979217826339617,365.2137758796288,0.02059574468085079,6,,2020-08-17 18:45:00,2020
msnbc,"TAX_FNCACT_PRESIDENT,10",1.186789917720201e-34,5.840521310557363e+33,0.0,51,,2016-01-05 00:45:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,102",1.2709018116504043e-05,54539.790108554356,0.01756478999864719,35,,2020-01-09 03:15:00,2020
msnbc,"TAX_FNCACT_PRESIDENT,103",1.0611211353272766e-05,65322.15385062151,0.006758765499517927,29,,2016-02-23 15:15:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,106",6.9054345823633325e-06,100377.05408581554,0.006396140375338422,42,,2016-11-02 05:30:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,107",9.159954977310767e-36,7.567146151666387e+34,0.0,30,,2016-03-20 18:30:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,108",1.7572792695682414e-35,3.944433833389781e+34,0.0,35,,2016-01-13 03:30:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,109",4.329833671286653e-35,1.6008632967971948e+34,0.0,31,,2016-05-21 03:15:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,113",4.7890746099889557e-05,14473.50974892295,0.11521090500443709,15,,2020-02-18 21:15:00,2020
msnbc,"TAX_FNCACT_PRESIDENT,114",1.0769506747291223e-05,64362.01739084175,0.022435083029269887,40,,2016-03-28 15:15:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,118",1.0366887340258414e-05,66861.64880640704,0.014366719222280055,22,,2016-02-14 18:15:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,121",1.887418693229979e-05,36724.61139895504,0.039241205385506794,31,,2020-01-16 20:45:00,2020
msnbc,"TAX_FNCACT_PRESIDENT,123",5.103098028478292e-06,135828.70183793764,0.004687419543568105,33,,2016-03-30 05:30:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,127",1.6056868583679907e-35,4.316826639936852e+34,0.0,26,,2016-02-22 21:45:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,128",9.736392699849682e-36,7.119137466288173e+34,0.0,34,,2016-04-08 18:30:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,129",2.3105988657340512e-35,2.999859434016212e+34,0.0,28,,2016-05-02 21:00:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,130",1.0928602649999392e-05,63425.05101143776,0.01404906097957026,22,,2016-05-18 21:15:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,132",1.9564400344653486e-35,3.542900208282473e+34,0.0,31,,2016-02-22 13:45:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,133",1.7889322970494451e-35,3.874641772096013e+34,0.0,31,,2016-05-20 13:45:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,136",8.565615967489952e-08,8092204.730993368,1.189282245905865e-06,28,,2016-03-17 20:30:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,137",3.0845331481427295e-35,2.247170470439929e+34,0.0,35,,2016-04-18 12:30:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,142",1.802712737322325e-05,38450.229268891584,0.0217093618906552,22,,2020-01-08 23:30:00,2020
msnbc,"TAX_FNCACT_PRESIDENT,150",9.656016394277956e-06,71783.9689015748,0.012013932317109677,22,,2016-06-02 16:30:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,151",2.449382774540989e-35,2.829885094990268e+34,0.0,28,,2016-03-24 00:15:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,152",8.79314666676959e-35,7.88281154435233e+33,0.0,31,,2016-02-15 20:45:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,153",2.704612582378964e-05,25628.33527714555,0.058072462146137704,21,,2020-01-04 23:30:00,2020
msnbc,"TAX_FNCACT_PRESIDENT,157",2.2165856081050706e-05,31270.94112789569,0.035206016573906096,23,,2020-02-13 22:45:00,2020
msnbc,"TAX_FNCACT_PRESIDENT,160",6.370726760694085e-36,1.0880190072449873e+35,0.0,26,,2020-01-07 23:00:00,2020
msnbc,"TAX_FNCACT_PRESIDENT,165",2.4049732109148674e-05,28821.40962793792,0.04192664991074402,27,,2016-04-11 17:00:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,17",9.684115422713594e-36,7.157568350891443e+34,0.0,26,,2016-02-05 02:00:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,171",3.213366736003431e-06,215707.46120999404,0.001514794386230256,30,,2016-02-14 17:15:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,178",1.2493950637154789e-05,55478.623270580945,0.018823074948101648,23,,2016-06-17 13:15:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,18",3.491598029078139e-06,198518.60803775053,0.0016373848500572663,15,,2016-01-12 15:30:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,180",2.382664974409975e-05,29091.256555344757,0.04533035579400668,16,,2016-07-22 13:00:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,183",3.0046871715281003e-35,2.306886344535594e+34,0.0,28,,2016-01-12 19:45:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,184",5.890674572218142e-35,1.176685576604412e+34,0.0,30,,2016-02-17 18:30:00,2016
